family,k,rep,gain,wins
MV,3,23,0.0060802435164369895,4
MV,3,24,0.008072918335083612,4
MV,3,25,-0.06703340194245977,6
MV,3,26,-0.012609278369840937,4
MV,3,27,-0.07061687830864027,5
MV,3,28,-0.031049378028614294,5
MV,3,29,0.017978529879432048,4
MV,3,30,-0.0378567222038485,5
MV,3,31,-0.021340697419616306,5
MV,3,32,0.003939009880352118,4
MV,3,33,-0.03790138469448212,6
MV,3,34,-0.02795025387699479,6
MV,3,35,-0.061573328627492985,6
MV,3,36,0.0025993383848007534,5
MV,3,37,-0.05802711176731312,6
MV,3,38,-0.03995882526313599,6
MV,3,39,-0.08433433632832288,6
MV,3,40,0.0426182773417455,3
MV,3,41,-0.07028918919786054,6
MV,3,42,0.02976195675144977,4
MV,3,43,0.005163166523537099,4
MV,3,44,-0.058404213047963505,6
MV,3,45,-0.06827728256959531,6
MV,3,46,-0.04332907656109519,5
MV,3,47,0.030362047781944512,4
MV,3,48,-0.005161140916901785,4
MV,3,49,-0.02370253367496411,5
MV,3,50,0.011458385543597793,5
MV,3,51,-0.057952704302458136,6
MV,3,52,0.0634228521309006,3
MV,3,53,0.028770474582445305,2
MV,3,54,-0.053798264834149845,6
MV,3,55,-0.04080399526185097,6
MV,3,56,0.00037275219745025456,6
MV,3,57,-0.057270060324929095,6
MV,3,58,-0.035861053818407096,4
MV,3,59,-0.016264386893198646,5
MV,3,60,0.045981054659554044,3
MV,3,61,-0.05893984307032574,6
MV,3,62,-0.055741358638148,5
MV,3,63,-0.05533106273640642,6
MV,3,64,-0.0037765815556551896,4
MV,3,65,-0.06349209162681735,6
MV,3,66,-0.020169865242203877,5
MV,3,67,0.008963471148226154,5
MV,3,68,-0.032326949908761726,6
MV,3,69,-0.026385823637802175,6
MV,3,70,-0.06031347930818931,6
MV,3,71,0.024490987545169762,4
MV,3,72,-0.05222353399123181,6
MV,3,73,-0.04164358425904535,6
MV,3,74,-0.067705323647125,6
MV,3,75,-0.03369950485345896,6
MV,3,76,-0.025793221965549673,6
MV,3,77,-0.05272562511895107,6
MV,3,78,-0.025024901247602704,5
MV,3,79,-0.012594087234050089,5
MV,3,80,-0.03812124275973727,6
MV,3,81,0.07446592799045193,2
MV,3,82,-0.007154496544022337,5
MV,3,83,-0.06923548970189974,6
MV,3,84,-0.041852089457393604,5
MV,3,85,-0.049585058631280154,6
MV,3,86,-0.04286780146537239,5
MV,3,87,-0.04889295822608397,6
MV,3,88,-0.06290179640499038,6
MV,3,89,-0.0553967805461697,6
MV,3,90,-0.052659097576916114,5
MV,3,91,-0.05099986241101029,6
MV,3,92,0.03131725781775774,4
MV,3,93,0.0697220336821821,4
MV,3,94,-0.06782499109253937,6
MV,3,95,-0.04188808840862701,6
MV,3,96,-0.037171906663773346,6
MV,3,97,-0.06384730562750096,6
MV,3,98,-0.054239707716871366,5
MV,3,99,-0.03203373061559067,6
MV,4,0,-0.03967601592500025,6
MV,4,1,-0.03986095106742116,5
MV,4,2,0.02549561838322345,4
MV,4,3,-0.053741202568689084,6
MV,4,4,-0.05781460312541509,6
MV,4,5,0.05798868815753189,4
MV,4,6,-0.03666497892168463,5
MV,4,7,-0.028908038914889467,6
MV,4,8,-0.06053750362193244,6
MV,4,9,-0.04650548027019197,6
MV,4,10,-0.07154857187864305,6
MV,4,11,-0.06353041272265925,6
MV,4,12,-0.024878743672320347,5
MV,4,13,-0.023205684967337104,5
MV,4,14,-0.02466934985747593,5
MV,4,15,-0.06370961739105396,6
MV,4,16,-0.07311074151777508,6
MV,4,17,-0.04625314377321921,6
MV,4,18,-0.02111309606371492,5
MV,4,19,-0.04023100345428443,6
MV,4,20,-0.03982543636571201,6
MV,4,21,-0.06704635092781575,6
MV,4,22,-0.06251857204328015,6
MV,4,23,-0.050606148480359825,6
MV,4,24,-0.0717703678296312,6
MV,4,25,-0.045689246173942766,5
MV,4,26,-0.015306126162923372,5
MV,4,27,0.01199711584970975,3
MV,4,28,-0.03351357863153204,5
MV,4,29,-0.013854474180385767,6
MV,4,30,-0.040310213374120996,6
MV,4,31,0.0711214456841276,3
MV,4,32,-0.026166298471569815,6
MV,4,33,-0.039222446215511186,6
MV,4,34,-0.04117734149723851,6
MV,4,35,-0.047192658197051984,6
MV,4,36,-0.04561067717801748,6
MV,4,37,-0.008221853468524332,5
MV,4,38,-0.00016045283740662164,4
MV,4,39,0.011865825733524793,4
MV,4,40,-0.05056698958006922,6
MV,4,41,-0.010926797928181187,5
MV,4,42,-0.007789607729538184,4
MV,4,43,-0.06082351056066004,6
MV,4,44,0.013113967008241634,4
MV,4,45,-0.03519570728937327,6
MV,4,46,-0.04859355211529848,6
MV,4,47,0.0020866036646663977,5
MV,4,48,-0.057805058743301885,6
MV,4,49,-0.05785619677356513,6
MV,4,50,-0.05814210675372944,6
MV,4,51,0.06408069209374512,3
MV,4,52,0.0042731700745273216,4
MV,4,53,-0.04913517538808254,6
MV,4,54,-0.06595733567583972,6
MV,4,55,-0.05847130179565385,6
MV,4,56,-0.0536703423122219,6
MV,4,57,-0.0463392111204064,6
MV,4,58,-0.0006654564739401181,3
MV,4,59,0.014803451003973955,4
MV,4,60,-0.06347584434794895,6
MV,4,61,-0.04865052810890791,6
MV,4,62,-0.05860458727962692,6
MV,4,63,0.015294822827079835,4
MV,4,64,-0.0684987695599586,5
MV,4,65,-0.04111094490048994,6
MV,4,66,0.02782356997106361,4
MV,4,67,-0.033309657772326196,5
MV,4,68,-0.06018781013961316,6
MV,4,69,-0.04704126797373431,5
MV,4,70,0.043586201256610946,4
MV,4,71,0.023067174180928296,4
MV,4,72,-0.05220540930095596,6
MV,4,73,-0.030946468750987277,6
MV,4,74,-0.06234847165787438,6
MV,4,75,-0.040565532079075206,5
MV,4,76,0.0058711130418998,5
MV,4,77,-0.000263733020963719,5
MV,4,78,-0.06479158468235868,6
MV,4,79,0.02392320848602436,4
MV,4,80,-0.049906133397286334,6
MV,4,81,-0.05180680369314172,5
MV,4,82,-0.054379324581970034,6
MV,4,83,-0.07415655735134585,5
MV,4,84,0.001280265966396521,4
MV,4,85,-1.1102230246251565e-16,2
MV,4,86,0.014812996874653761,3
MV,4,87,-0.002234216020441382,4
MV,4,88,-0.04372291589246913,6
MV,4,89,-0.0551815271037549,6
MV,4,90,-0.00835780223803928,4
MV,4,91,-0.022160731185297045,6
MV,4,92,-0.04569957182138229,6
MV,4,93,-0.046132662930553736,6
MV,4,94,-0.0288750735055453,5
MV,4,95,-0.013756094385997564,5
MV,4,96,-0.060676730017578895,6
MV,4,97,-0.07163027847154568,6
MV,4,98,-0.037904093742122336,5
MV,4,99,-0.006581398946961081,4
MV,6,0,0.0038586226931227596,5
MV,6,1,-0.03570554996296016,6
MV,6,2,0.02332703054962104,4
MV,6,3,0.006785606318268966,3
MV,6,4,-0.0321111763990265,4
MV,6,5,-0.036825702698492946,5
MV,6,6,-0.06560453888638396,6
MV,6,7,-0.005585344457853969,3
MV,6,8,0.0474729294581312,4
MV,6,9,-0.03536923610011811,6
MV,6,10,-0.019066190134710337,6
MV,6,11,-0.02780142970596078,5
MV,6,12,-0.01578503539506715,6
MV,6,13,0.03421103323917807,4
MV,6,14,-0.011916803617946448,5
MV,6,15,-0.048636531628159174,5
MV,6,16,-0.05595316659766747,6
MV,6,17,0.0022396233984840475,4
MV,6,18,-0.02818609920664472,6
MV,6,19,-0.014595248224101298,5
MV,6,20,-0.04276745809778193,6
MV,6,21,-0.07634667684200303,6
MV,6,22,-0.038165591264545995,4
MV,6,23,-0.06640581538020907,6
MV,6,24,-0.009908761391962173,6
MV,6,25,-0.024526931737601787,6
MV,6,26,-0.06334584264167831,6
MV,6,27,-0.04980673019091286,5
MV,6,28,-0.02550450466182097,5
MV,6,29,-0.04009392299452641,6
MV,6,30,-0.041741189292757386,5
MV,6,31,-0.04119050509784217,6
MV,6,32,-0.012605095409668365,5
MV,6,33,0.022376819687035754,4
MV,6,34,-0.06766363669678921,6
MV,6,35,0.005595325987802879,4
MV,6,36,-0.05655619324243499,6
MV,6,37,-0.03884615817969539,6
MV,6,38,-0.012903771867200708,5
MV,6,39,-0.04420720612098428,6
MV,6,40,0.009812123434293496,4
MV,6,41,-0.024675218039224678,5
MV,6,42,-0.06110430650985921,6
MV,6,43,-0.06319652329398551,6
MV,6,44,-0.04632800356053912,6
MV,6,45,-0.01811521184591658,5
MV,6,46,-0.07914376585153049,6
MV,6,47,-0.04154393464973172,5
MV,6,48,-0.021423560754532445,4
MV,6,49,-0.025265894033805414,5
MV,6,50,-0.0646610939618526,5
MV,6,51,-0.049616320092798705,5
MV,6,52,-0.07640395422487223,6
MV,6,53,-0.05458269346329614,6
MV,6,54,0.02994360176941302,4
MV,6,55,-0.015661778532914172,5
MV,6,56,-0.014882878048301795,6
MV,6,57,-0.06689994719983883,6
MV,6,58,0.00654408964383546,4
MV,6,59,-0.06780721821040148,6
MV,6,60,-0.05950835734034643,6
MV,6,61,-0.06554159796044268,6
MV,6,62,-0.05806237310913964,6
MV,6,63,-0.0463247469273983,6
MV,6,64,-0.04157154161478127,6
MV,6,65,-0.0061531585629807095,4
MV,6,66,-0.025803667983698153,5
MV,6,67,-0.04502410911626786,6
MV,6,68,-0.03587629157170236,6
MV,6,69,-0.0761554319684975,6
MV,6,70,0.0026931926698301467,4
MV,6,71,-0.06056984951675515,6
MV,6,72,-0.02035145810336514,4
MV,6,73,0.011969977199723814,4
MV,6,74,-0.02909895151371311,5
MV,6,75,-0.03410597504721913,6
MV,6,76,-0.01448574090545851,5
MV,6,77,-7.195402976334364e-05,3
MV,6,78,-0.004102811176320942,5
MV,6,79,-0.04160886050225299,6
MV,6,80,-0.07152989437423496,6
MV,6,81,-0.05212626720049496,6
MV,6,82,-0.03118622376959279,6
MV,6,83,-0.011485970209026752,5
MV,6,84,-0.059734505053405274,6
MV,6,85,-0.04640411452881421,6
MV,6,86,-0.041847436342038025,5
MV,6,87,-0.0502315925671416,5
MV,6,88,-0.04041852598752105,5
MV,6,89,-0.06813735413953459,6
MV,6,90,-0.040975966663658325,6
MV,6,91,-0.03627676266053681,5
MV,6,92,-0.0565308765112581,6
MV,6,93,-0.05870007187071691,5
MV,6,94,-0.05250439094256876,6
MV,6,95,-0.05337018572723473,6
MV,6,96,-0.049595219114382805,5
MV,6,97,-0.03543447520176235,6
MV,6,98,-0.06289842237149545,6
MV,6,99,-0.005836672399456733,6
MV,8,0,-0.02605541611683948,5
MV,8,1,-0.03694638148277096,6
MV,8,2,-0.005809900866989293,5
MV,8,3,0.021520750575557357,4
MV,8,4,-0.0382886525069166,6
MV,8,5,-0.07635933065348832,6
MV,8,6,-0.04056251958405033,6
MV,8,7,-0.05331083576663209,6
MV,8,8,-0.05009351554544783,6
MV,8,9,-0.05976891075221902,6
MV,8,10,-0.0591736462503899,6
MV,8,11,-0.029442127987535094,5
MV,8,12,-0.040095939402194025,5
MV,8,13,0.010460206756589985,4
MV,8,14,-0.03692417601225928,5
MV,8,15,-0.016117386415262502,6
MV,8,16,-0.033790596084229296,6
MV,8,17,-0.04113683978830329,6
MV,8,18,-0.05514548872742264,6
MV,8,19,-0.06231031053441882,6
MV,8,20,-0.0021632353685648864,5
MV,8,21,-0.07813331889921094,6
MV,8,22,-0.03445527997702258,6
MV,8,23,-0.01609463688599333,5
MV,8,24,-0.05274211088978886,6
MV,8,25,-0.004648334126117315,4
MV,8,26,-0.02944161951613189,5
MV,8,27,0.06037893415568796,3
MV,8,28,0.023710483836708485,3
MV,8,29,-0.028810751645043875,6
MV,8,30,-0.05170464707611244,6
MV,8,31,0.010316317519149076,4
MV,8,32,0.010116186994116094,4
MV,8,33,-0.04135521562137423,5
MV,8,34,-0.053509936013277914,6
MV,8,35,-0.0697432203607975,6
MV,8,36,-0.052489352146898094,6
MV,8,37,-0.01555711481614308,5
MV,8,38,0.012275471883065325,5
MV,8,39,-0.05253829442042113,6
MV,8,40,-0.035272488060796414,5
MV,8,41,-0.005063057233953061,5
MV,8,42,-0.07532277758738792,5
MV,8,43,-0.020174724077876016,5
MV,8,44,-0.020477797840202094,5
MV,8,45,-0.00839838561727202,5
MV,8,46,-0.03622776359699631,5
MV,8,47,-0.02459254345825168,5
MV,8,48,0.017170188993456237,2
MV,8,49,-0.030870646138767333,5
MV,8,50,-0.050679126074317016,6
MV,8,51,-0.020255240899259452,6
MV,8,52,-0.05551753259734915,6
MV,8,53,-0.04390659132101371,5
MV,8,54,0.0066501716786396825,4
MV,8,55,0.019665764230411997,4
MV,8,56,-0.05948504916279951,5
MV,8,57,-0.025707486899205434,4
MV,8,58,-0.07016073618753282,6
MV,8,59,-0.05946578720401463,6
MV,8,60,-0.0626577925955063,6
MV,8,61,-0.03223380689203603,6
MV,8,62,0.05131443468222685,3
MV,8,63,-0.04497613610338702,5
MV,8,64,-0.0391860257378166,5
MV,8,65,0.031674932249020626,4
MV,8,66,-0.019571781821750678,4
MV,8,67,-0.05150377279815033,6
MV,8,68,0.012589316660922334,4
MV,8,69,-0.04402754823536692,6
MV,8,70,-0.01203050784305748,5
MV,8,71,-0.04489044172651446,6
MV,8,72,-0.06534207768019773,6
MV,8,73,-0.06763699404478518,6
MV,8,74,-0.04498455217259212,5
MV,8,75,-0.04847120961387763,5
MV,8,76,0.0057448659831215165,4
MV,8,77,-0.02152644033732254,5
MV,8,78,-0.014699109728060988,5
MV,8,79,-0.010456675631840495,5
MV,8,80,-0.045448761614968025,6
MV,8,81,-0.06445363004652105,6
MV,8,82,-0.016789150283947785,5
MV,8,83,-0.06496549346818192,6
MV,8,84,-0.020481809912218374,5
MV,8,85,-0.0031044503755376374,5
MV,8,86,0.012134925130379837,4
MV,8,87,-0.06455605433543143,6
MV,8,88,-0.011155015676887925,5
MV,8,89,0.012139221324694471,4
MV,8,90,-0.004501812509893011,5
MV,8,91,-0.03304362560142793,5
MV,8,92,-0.03545465705868789,5
MV,8,93,-0.0025765745765035097,4
MV,8,94,-0.08020669585001261,6
MV,8,95,0.035281596219083555,4
MV,8,96,-0.05907615393614363,6
MV,8,97,-0.014151307169678273,5
MV,8,98,-0.03801901829200749,6
MV,8,99,0.015089152606873046,4
MV,12,0,0.023917006645611694,2
MV,12,1,0.026046290140492534,4
MV,12,2,-0.023319275945809848,5
MV,12,3,-0.0437565598004499,5
MV,12,4,-0.040456602893212845,5
MV,12,5,-0.06554796674395746,6
MV,12,6,-0.026428858651504128,6
MV,12,7,-0.015399415889687962,6
MV,12,8,-0.04825128029942083,5
MV,12,9,-0.07788232224804004,6
MV,12,10,-0.0453574265585488,5
MV,12,11,-0.048455601174801854,5
MV,12,12,-0.026719518277128262,5
MV,12,13,-0.02323424070061242,5
MV,12,14,-0.023988125054920206,5
MV,12,15,-0.06408733488930385,6
MV,12,16,-0.03498450647780804,5
MV,12,17,0.03483211117875229,3
MV,12,18,-0.035645513282182906,5
MV,12,19,-0.04655889589317452,6
MV,12,20,-0.04644944599046208,5
MV,12,21,-0.025243617635220983,5
MV,12,22,-0.019993746128155077,5
MV,12,23,-0.024565803064102276,5
MV,12,24,-0.07241252964586575,6
MV,12,25,0.00226837600455021,5
MV,12,26,-0.016421767963577416,6
MV,12,27,-0.05558021301809768,6
MV,12,28,-0.00829346458193847,4
MV,12,29,-0.06758682163323237,6
MV,12,30,-0.05586426671472666,6
MV,12,31,0.020518568196839393,3
MV,12,32,0.033820846966192364,4
MV,12,33,-0.004973504393860018,5
MV,12,34,-0.0496111219032489,6
MV,12,35,-0.03974166268624246,5
MV,12,36,-0.07931160299888151,6
MV,12,37,-0.005594669866920476,6
MV,12,38,0.008449938930825907,4
MV,12,39,-0.04415437275229028,5
MV,12,40,0.015516276663457562,4
MV,12,41,-0.02459867895736001,5
MV,12,42,-0.000788402359245044,4
MV,12,43,-0.03518850519368655,5
MV,12,44,0.019490700303025577,3
MV,12,45,-0.03533194193807998,5
MV,12,46,-0.03580836580785485,6
MV,12,47,-0.0276166878696682,5
MV,12,48,-0.039284618203211163,5
MV,12,49,0.003704521542895245,4
MV,12,50,-0.06536679358788,6
MV,12,51,-0.0312528534013522,5
MV,12,52,-0.07124905465823939,6
MV,12,53,0.024198910976493626,3
MV,12,54,-0.061282128200806474,6
MV,12,55,0.004609542444978021,4
MV,12,56,0.012353993016964049,4
MV,12,57,-0.04548130154864838,6
MV,12,58,0.012243130288128734,4
MV,12,59,-0.025209457824804105,5
MV,12,60,-0.05713337580573541,6
MV,12,61,-0.04833566918845367,6
MV,12,62,-0.04305774336102752,5
MV,12,63,0.03169264292844631,4
MV,12,64,0.007877003015158923,4
MV,12,65,-0.024287950057918284,5
MV,12,66,0.009252731154578475,4
MV,12,67,-0.006545000713124138,5
MV,12,68,-0.026778575410574934,6
MV,12,69,-0.01259664669048588,5
MV,12,70,0.003995174062708218,4
MV,12,71,-0.033706536934867026,5
MV,12,72,-0.028986608295977434,6
MV,12,73,-0.0555186995264173,6
MV,12,74,-0.05253139613987967,5
MV,12,75,-0.0015755876397097746,4
MV,12,76,-0.06106731584353131,6
MV,12,77,0.020728548083709275,4
MV,12,78,0.015897006942040548,4
MV,12,79,-0.03684244475543441,5
MV,12,80,-0.054901958652805005,6
MV,12,81,-0.01590569504205841,5
MV,12,82,-0.07020175284407881,6
MV,12,83,-0.012089783426610712,4
MV,12,84,-0.07672837156914936,6
MV,12,85,-0.002013537597535975,5
MV,12,86,-0.05424734511061402,6
MV,12,87,-0.06236668133363188,6
MV,12,88,-0.04329726042948345,6
MV,12,89,-0.016508467614396616,5
MV,12,90,-0.03634159099815859,5
MV,12,91,-0.050218628642443086,6
MV,12,92,0.02420528672831146,3
MV,12,93,-0.055797402434585086,6
MV,12,94,-0.051767607509678126,6
MV,12,95,-0.012742091581222081,5
MV,12,96,-0.0014261918563512888,4
MV,12,97,0.005058009846394262,3
MV,12,98,-0.046840872454958826,5
MV,12,99,-0.03954016735858934,6
MV,16,0,0.013899641807037066,4
MV,16,1,-0.003364044865999727,5
MV,16,2,-0.018890796030831547,4
MV,16,3,0.011314316598712626,4
MV,16,4,-0.013864930749723836,6
MV,16,5,0.007988226798835263,4
MV,16,6,-0.03509021854562677,5
MV,16,7,0.006711756039349481,4
MV,16,8,-0.031297217106766584,5
MV,16,9,-0.05887361681314618,6
MV,16,10,-0.05439014023572686,6
MV,16,11,-0.06174948971756766,6
MV,16,12,-0.032912748767569,5
MV,16,13,-0.0300255688949852,5
MV,16,14,-0.02451619559271523,5
MV,16,15,-0.010941969401264129,5
MV,16,16,-0.04799234730699853,6
MV,16,17,-0.0134784093591791,5
MV,16,18,-0.05251370217467377,6
MV,16,19,-2.7706190179332957e-05,5
MV,16,20,-0.035245105769049934,5
MV,16,21,0.008622657285405455,4
MV,16,22,-0.0064049451040718575,5
MV,16,23,-0.05889897387688314,6
MV,16,24,0.02378987942966826,3
MV,16,25,-0.0652348258126556,6
MV,16,26,-0.05353546319636715,6
MV,16,27,-0.005987886992933733,4
MV,16,28,-0.005417813281105244,5
MV,16,29,-0.027568642268315346,5
MV,16,30,-0.03715726108545214,6
MV,16,31,-0.04584167592450905,6
MV,16,32,-0.014506871127071608,5
MV,16,33,0.007917586005603883,4
MV,16,34,-0.0683680587307306,6
MV,16,35,0.039756379207199655,3
MV,16,36,-0.019746416546600698,5
MV,16,37,-0.0755328095055553,6
