w,rmsB,rmsP,move,n,gain
151,1.7824895534125245,2.252475150658517,2.6468448774005133,3591,0.4699855972459923
152,15.24816150351729,5.143699191391613,8.374295558172124,4801,-10.104462312125676
153,4.5122687354502675,3.0660045339489117,1.832631930121995,4972,-1.4462642015013558
154,2.576313349590356,7.285398814434848,4.624277905193075,3488,4.709085464844492
155,3.531953294952005,1.8003574349082958,1.9420251193445837,6065,-1.7315958600437094
156,9.51309109484355,4.435968430224036,6.003467532221424,4539,-5.077122664619513
157,4.19065003152407,1.8465044961939021,2.223847128530344,4475,-2.344145535330168
158,4.35385310685137,1.0100106677040308,3.5680513689087383,4842,-3.3438424391473394
159,2.4031088671204066,0.5764286403702502,1.9685863064445384,5260,-1.8266802267501565
160,8.818972586033556,5.358051846737156,4.071123041738688,6513,-3.4609207392964008
161,3.9656164570857264,0.6168974503739049,3.163777591386045,3894,-3.3487190067118213
162,5.594438266063557,1.3403538502151755,3.938776738154428,6217,-4.254084415848382
163,7.5438751230609284,11.453199238725212,4.874013590209527,3121,3.9093241156642833
164,7.2009986586022015,2.8747014678591074,5.300539037471848,6564,-4.3262971907430945
165,6.489411211000335,6.279019835214159,2.4390561562557913,3057,-0.21039137578617595
166,3.5632446521076044,1.4566011346762073,2.6002598728152972,4010,-2.1066435174313973
167,5.128792607021173,1.4680684537603335,2.9978685450284024,5895,-3.660724153260839
168,2.3271999374788592,1.2146250588782146,1.1059879040003207,3368,-1.1125748786006446
169,6.4135158600443685,6.826517243326781,2.976354230361015,6443,0.4130013832824124
170,4.137823815805635,1.5406813522353344,3.7497717531851156,4904,-2.5971424635703
171,4.692570499258502,8.399369465453697,3.92495277379748,5931,3.706798966195195
172,4.372555494829389,0.878514773509141,3.4690609483726935,2860,-3.494040721320248
173,2.7533785405941638,5.931852589180072,5.532761800050708,4201,3.178474048585908
174,17.653898225495503,3.1843850456977756,11.143096992229152,2699,-14.469513179797728
175,2.7549780644326756,2.9509970563050505,2.6756476334483117,3693,0.19601899187237493
176,7.273204514173938,4.28265589059587,3.284322625700113,6233,-2.990548623578068
177,1.7824489314100387,1.6315361715643282,0.47280524252068573,3881,-0.1509127598457105
178,3.4205081074549515,4.028774649323507,3.4539425216629183,3051,0.6082665418685558
179,6.436305288522507,6.323130909893908,1.4937613480642413,4683,-0.11317437862859947
180,9.881836183156887,5.2376970974098525,6.8916341813962365,6783,-4.644139085747034
181,6.908140483566812,6.692513498964946,4.230160847731157,7429,-0.21562698460186613
182,7.1366241206820185,3.67786543317799,2.5830771779807504,4911,-3.4587586875040284
183,5.954802573623615,1.2697511030659505,3.4776371732931026,9818,-4.6850514705576645
184,1.760793994042462,1.7547427023266662,1.6524981435012462,4120,-0.00605129171579577
185,3.1057943452562724,1.8501525079793886,1.8488084243877827,5772,-1.2556418372768838
186,4.046681001016782,12.028480876304004,14.239187840999668,3017,7.981799875287222
187,4.916883937312988,5.338407161971584,2.215779488895891,4204,0.42152322465859626
188,4.321267398000527,4.862214610342441,2.785707382327083,6096,0.5409472123419139
189,4.797360226546288,1.9841363667444698,2.8389447843251014,5632,-2.813223859801818
190,4.141643202892036,2.341050443646433,3.215707445620692,5971,-1.8005927592456028
191,27.896695678371845,11.67818499405729,16.2704590659447,6548,-16.218510684314555
192,10.5520265979754,7.147639211125009,11.585858344437915,5947,-3.4043873868503916
193,3.2980409610938515,1.625179230792165,1.7743239071046322,4648,-1.6728617303016864
194,11.783810517568645,4.76244578193842,5.671781001042573,6063,-7.0213647356302245
195,5.195994587534068,0.9231206952509136,4.103518130686151,5143,-4.272873892283155
196,2.847430596184818,1.5568496459863734,2.1012171459184033,5415,-1.2905809501984447
197,5.282959679989728,3.1701493416385174,4.9303832055079,6723,-2.1128103383512102
198,3.581435592409532,3.039672844169225,2.7405707107174715,4340,-0.5417627482403069
199,4.418281019162911,3.230758835412725,2.509308882857037,4397,-1.1875221837501857
200,2.7131357598327894,2.075486061474169,1.0184858091434372,4263,-0.6376496983586204
201,1.8551300922270324,1.9579472408271263,1.627620936238824,5193,0.10281714860009394
202,13.086213614493543,15.262343559342476,2.640767032855191,4221,2.176129944848933
203,4.874338842514814,1.4390746758322264,2.5046057224705605,5505,-3.435264166682588
204,7.751723086577384,1.939995505881733,6.00715913192658,5361,-5.811727580695651
205,4.265005748892647,3.1087366890187647,1.8038108613430508,4946,-1.1562690598738823
206,3.017414500954012,4.321459229149895,2.018641900603635,4174,1.3040447281958834
207,3.18595536986494,4.657739460938362,2.7064037008468356,5393,1.4717840910734226
208,2.6978343912578078,2.336336919398872,1.7809261340944902,5119,-0.3614974718589359
209,4.053243155652989,5.566624162912188,1.7884971766953983,6248,1.5133810072591984
210,9.811888660710613,1.0014670643512178,7.734399312350763,3705,-8.810421596359395
211,6.2952804417508395,6.7784840467611245,1.9077679722821235,5487,0.48320360501028503
212,2.565940686882618,3.9761942845990332,2.1264584919539935,4998,1.4102535977164155
213,3.3018648065012908,0.7691246497305677,2.3865257156669895,2584,-2.532740156770723
