family,n,rep,gain,wins
strong,6,88,0.14799386082843446,2
strong,6,89,0.13663095721750196,3
strong,6,90,-0.010813881853647067,4
strong,6,91,0.31975650260275956,0
strong,6,92,0.09099344759870198,3
strong,6,93,0.08061624712553317,0
strong,6,94,0.08754717476182738,2
strong,6,95,0.040174938270336136,3
strong,6,96,0.029358598538944625,3
strong,6,97,-0.04176393572699866,5
strong,6,98,0.24911180925348153,0
strong,6,99,-0.015546340890870258,4
strong,8,0,0.07557416593670097,2
strong,8,1,0.1244673384811128,0
strong,8,2,0.08440892239828657,4
strong,8,3,0.10955186233815417,0
strong,8,4,0.0144810684854626,3
strong,8,5,0.06217889333056381,3
strong,8,6,0.11482326776285157,0
strong,8,7,0.25520693326524646,0
strong,8,8,-0.039835407497608166,5
strong,8,9,0.056986156353773576,1
strong,8,10,0.012382063989733183,5
strong,8,11,0.22839866699747358,2
strong,8,12,0.39106760817189445,1
strong,8,13,0.018713938292036825,4
strong,8,14,0.09137586162996103,1
strong,8,15,0.0950253304451808,1
strong,8,16,0.11784419918633893,1
strong,8,17,0.11035122129379793,0
strong,8,18,0.06495120082613859,0
strong,8,19,0.04253664764778864,2
strong,8,20,0.11592865878418013,0
strong,8,21,0.061953205267581524,4
strong,8,22,0.14615895712701732,0
strong,8,23,0.04920789149522309,3
strong,8,24,0.16832464220173915,0
strong,8,25,0.04830718594132477,2
strong,8,26,0.09825180496222918,0
strong,8,27,0.011835395985219987,2
strong,8,28,0.027709828826755434,3
strong,8,29,0.03420036873233723,3
strong,8,30,0.04046381571812885,3
strong,8,31,-0.03263113569200471,5
strong,8,32,0.016140542858541496,3
strong,8,33,0.06851742180482745,3
strong,8,34,0.08866004085986856,0
strong,8,35,0.07715221866571054,2
strong,8,36,0.04790737453238203,1
strong,8,37,0.06394277541587445,2
strong,8,38,0.032222703779475004,2
strong,8,39,0.08639834958427839,3
strong,8,40,0.05554289827871617,2
strong,8,41,0.019007310016050605,2
strong,8,42,0.16167132501527803,0
strong,8,43,0.10152508742518607,2
strong,8,44,0.015752282514551408,2
strong,8,45,0.015809704178151196,2
strong,8,46,0.07886650597607725,2
strong,8,47,-0.006244795719661744,4
strong,8,48,0.030004104061401304,3
strong,8,49,0.038345139553758734,2
strong,8,50,-0.003370619448683665,4
strong,8,51,0.047385015357871096,1
strong,8,52,0.08472776691470973,4
strong,8,53,0.015776312058846553,4
strong,8,54,0.031118653700739296,3
strong,8,55,0.190987481740706,0
strong,8,56,0.08951146291332579,0
strong,8,57,-0.016527666690426934,4
strong,8,58,0.1117282425667615,1
strong,8,59,0.08352797378861831,2
strong,8,60,-0.03330018749264052,6
strong,8,61,0.012459355100175928,4
strong,8,62,0.09116311704148128,1
strong,8,63,0.13424541348650865,0
strong,8,64,0.016138216419777973,5
strong,8,65,-0.05826350521821422,6
strong,8,66,0.0906455416472951,1
strong,8,67,0.1912652684083418,0
strong,8,68,0.15113772823066185,1
strong,8,69,0.11862737400021095,2
strong,8,70,0.00700138232505787,2
strong,8,71,0.17600116317311876,1
strong,8,72,-0.005393770106344342,3
strong,8,73,0.02504161520274173,4
strong,8,74,-0.04483021398903153,5
strong,8,75,0.2732840011585418,0
strong,8,76,0.005315142508434678,5
strong,8,77,0.09097563710690504,0
strong,8,78,0.11810561583066248,0
strong,8,79,0.07390702697818652,0
strong,8,80,0.12099444791381664,0
strong,8,81,0.12841474247391105,1
strong,8,82,0.044968392206048535,2
strong,8,83,0.04541156861295803,3
strong,8,84,-0.0191308794866879,6
strong,8,85,0.09725443528767419,4
strong,8,86,0.05430174421237699,3
strong,8,87,0.11782296667576297,1
strong,8,88,0.21996661919167126,0
strong,8,89,0.05659671291157142,3
strong,8,90,0.052504929224603925,2
strong,8,91,0.10506072575368208,2
strong,8,92,0.1372004498929782,1
strong,8,93,0.11981536464354847,2
strong,8,94,-0.00038025003478781016,3
strong,8,95,0.07300272119448836,2
strong,8,96,0.03877479375299864,4
strong,8,97,0.0022460828516815967,5
strong,8,98,0.027783358222068122,4
strong,8,99,0.14969226208857378,0
strong,11,0,0.0867240532217507,1
strong,11,1,0.03751709942532788,4
strong,11,2,0.132300705777747,0
strong,11,3,0.0004769085728191236,4
strong,11,4,-0.024610146365433017,4
strong,11,5,0.17619382720631305,2
strong,11,6,0.016850539573369794,3
strong,11,7,0.047347940379415254,2
strong,11,8,0.0485369848380901,2
strong,11,9,-0.06448855172231494,7
strong,11,10,0.067907522448859,2
strong,11,11,0.004895664374540254,4
strong,11,12,0.015034318623331933,2
strong,11,13,-0.021212891785507004,6
strong,11,14,0.008474828468755802,4
